source_file,source_sheet,source_kind,source_quality_weight,condition,dealer_name,brand,model,version,year,year_imputed,mileage_km,fuel_type,transmission,body_style,price_listing_mga,price_excl_tax_mga,price_negotiable_mga,forward_filled
occaz oceantrade.xlsx,Occasion,dealer_official,1,used,OceanTrade,Isuzu,DMAX,GEN 6 PRO,2018,false,,diesel,manual,pickup,70000000,,,false
occaz oceantrade.xlsx,Occasion,dealer_official,1,used,OceanTrade,Isuzu,DMAX,GEN 6 ELEGANCE,2018,false,,diesel,manual,pickup,85000000,,,false
occaz oceantrade.xlsx,Occasion,dealer_official,1,used,OceanTrade,Isuzu,DMAX,GEN 6 KONFOR,2020,false,,diesel,automatic,pickup,100000000,,,false
occaz oceantrade.xlsx,Occasion,dealer_official,1,used,OceanTrade,Isuzu,DMAX,XRIDER,2018,false,,diesel,manual,pickup,85000000,,,false
occaz oceantrade.xlsx,Occasion,dealer_official,1,used,OceanTrade,Isuzu,DMAX,GEN 7 PRO,2022,false,,diesel,manual,pickup,110000000,,,false
occaz oceantrade.xlsx,Occasion,dealer_official,1,used,OceanTrade,Isuzu,DMAX,GEN 7 PREMIUM,2022,false,,diesel,automatic,pickup,120000000,,,false
occaz oceantrade.xlsx,Occasion,dealer_official,1,used,OceanTrade,Isuzu,DMAX,GEN 7,2022,false,,diesel,automatic,pickup,150000000,,,false
occaz oceantrade.xlsx,Occasion,dealer_official,1,used,OceanTrade,Isuzu,MUX,,2022,false,,diesel,automatic,pickup,160000000,,,false
occaz oceantrade.xlsx,Occasion,dealer_official,1,used,OceanTrade,Isuzu,MUX,TITANIUM,2022,false,,diesel,automatic,pickup,230000000,,,false
occaz oceantrade.xlsx,Occasion,dealer_official,1,used,OceanTrade,Toyota,REVO,BASE,2016,false,,diesel,manual,pickup,90000000,,,false
occaz oceantrade.xlsx,Occasion,dealer_official,1,used,OceanTrade,Toyota,REVO,,2016,false,,diesel,manual,pickup,120000000,,,false
occaz oceantrade.xlsx,Occasion,dealer_official,1,used,OceanTrade,Toyota,REVO,,2020,false,,diesel,manual,pickup,160000000,,,false
